Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Barroilhet, A.","57200759824","The regime politics origins of class action regulation",2018,"Theoretical Inquiries in Law",19,"1",,363,394,,,10.1515/til-2018-0012,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85042382801&partnerID=40&md5=1a22e9b31ee458f696a30587a4f83ac9",Article,Final,"",Scopus,2-s2.0-85042382801
"Flew, T., Yin, L.","56341271400; 36635248800","Xi Dada loves Peng Mama: Digital culture and the return of charismatic authority in China",2018,"Thesis Eleven",144,"1",,80,99,,3,10.1177/0725513618756098,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85046618437&partnerID=40&md5=f6a51941eca37e3e165538fda979aefe",Article,Final,"",Scopus,2-s2.0-85046618437
"Avigur-Eshel, A.","56162412700","Encouraging Action in the Private Sphere: Demand-Side Practices in the Depoliticization of Economic Policy in Israel",2018,"Politics and Policy",46,"1",,84,109,,2,10.1111/polp.12241,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85042501886&partnerID=40&md5=7e947d53570e5cbee6ddb9d06057cb87",Article,Final,"",Scopus,2-s2.0-85042501886
"Stiller, M.","55343368300","The politics of commemoration: Patronage of monk-general shrines in late Chosǒn Korea",2018,"Journal of Asian Studies",77,"1",,83,105,,,10.1017/S0021911817001255,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85042229970&partnerID=40&md5=a24bf6b4ccf0668ee0157125d7a65f33",Review,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85042229970
"Chi, Y.-L., Bump, J.B.","57220821900; 16308889100","Resource allocation processes at multilateral organizations working in global health",2018,"Health Policy and Planning",33,"",,i4,i13,,7,10.1093/heapol/czx140,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85041667364&partnerID=40&md5=ab02c213d4d14caedb2c5eb21446f28a",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85041667364
"Sarkar, S.","54586005700","The Electrification of Colonial Calcutta: Role of the Innovators, Bureaucrats and Foreign Business Organization, 1880–1940",2018,"Studies in History",34,"1",,48,76,,,10.1177/0257643017736194,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85040508864&partnerID=40&md5=9c129fe64b4d5e076a112c22ba3830ac",Article,Final,"",Scopus,2-s2.0-85040508864
"Kuehn, T.","57188988473","“We Know Nothing About Yemen!” Ottoman Imperial Governance in Southwest Arabia and the Politics of Knowledge Production, 1871–1914",2018,"Journal of Arabian Studies",8,"1",,5,24,,1,10.1080/21534764.2018.1529222,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85062443028&partnerID=40&md5=357161b75e102f15f0dd9133850d856f",Article,Final,"",Scopus,2-s2.0-85062443028
"Elamin, N.","56363044800","‘The miskeet tree doesn't belong here': shifting land values and the politics of belonging in Um Doum, central Sudan | ‘L'arbre mesquite n'a pas sa place ici': Comment un victoire fonciere historique reconfigure les notions d'appertenance au centre du Soudan",2018,"Critical African Studies",10,"1",,67,88,,2,10.1080/21681392.2018.1491803,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85051521919&partnerID=40&md5=ba92a6243a405f91902ec4269edba876",Article,Final,"",Scopus,2-s2.0-85051521919
"Kennedy, J.","56447661800","Agency Characteristics and the Use of Executive Orders",2018,"Congress and the Presidency",45,"1",,89,107,,,10.1080/07343469.2017.1407838,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85042860188&partnerID=40&md5=4c8af143228369639d3e162d9618b1a0",Article,Final,"",Scopus,2-s2.0-85042860188
"Brandt, C., Sohoni, P.","57198500774; 56582108100","Script and identity–the politics of writing in South Asia: an introduction",2018,"South Asian History and Culture",9,"1",,1,15,,6,10.1080/19472498.2017.1411048,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85039074856&partnerID=40&md5=56827cbcb16736af2b79002d1e7817c4",Article,Final,"",Scopus,2-s2.0-85039074856
"Olsen, G.R.","35986465300","The October 2011 Kenyan invasion of Somalia: fighting al-Shabaab or defending institutional interests?",2018,"Journal of Contemporary African Studies",36,"1",,39,53,,7,10.1080/02589001.2017.1408953,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85034980590&partnerID=40&md5=b5319bd2dfd600805efd6de061830669",Article,Final,"",Scopus,2-s2.0-85034980590
"Honig, D., Gulrajani, N.","57194134699; 6507663714","Making good on donors’ desire to Do Development Differently",2018,"Third World Quarterly",39,"1",,68,84,,19,10.1080/01436597.2017.1369030,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85029598430&partnerID=40&md5=a02af03413482ad8715ca77602ce321b",Article,Final,"",Scopus,2-s2.0-85029598430
"Thatte, C.D.","6506116135","Water resources development in India",2018,"International Journal of Water Resources Development",34,"1",,16,27,,9,10.1080/07900627.2017.1364987,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85029459434&partnerID=40&md5=365d175179501b48d32989264bc06bf8",Article,Final,"",Scopus,2-s2.0-85029459434
"Suzanne Farmer, J.","57200564420","Ryot upon ryot: Sedition during the London shrieval election of 1682",2018,"London Journal",43,"1",,1,16,,1,10.1080/03058034.2017.1335043,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85020266900&partnerID=40&md5=19a4299ece55d883122d616a1f709ba4",Article,Final,"",Scopus,2-s2.0-85020266900
"Gilad, S., Cohen, N.","25629423900; 35742617200","Bureaucratic politics in Israel",2018,"The Oxford Handbook of Israeli Politics and Society",,"",,367,382,,,10.1093/oxfordhb/9780190675585.013.22,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85111893880&partnerID=40&md5=1e390987bbf057ec4312542a82eb331f",Book Chapter,Final,"",Scopus,2-s2.0-85111893880
"Atalay, Z.","57207644382","Authoritarian neoliberalism and Islamist civil society in Turkey",2018,"Civil Society in the Global South",,"",,176,192,,,10.4324/9781315113579-11,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85108760156&partnerID=40&md5=400bafd4d1fb0dd983bffe48bf5d83c9",Book Chapter,Final,"",Scopus,2-s2.0-85108760156
"Chambliss, W.J.","6601922042","Power, Politics, and Crime",2018,"Power, Politics, and Crime",,"",,1,190,,1,10.4324/9780429498084,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85108276626&partnerID=40&md5=c9136ffd9c6094bedcb359b54a438431",Book,Final,"",Scopus,2-s2.0-85108276626
"Schelchkov, A.","57200153001","Latin America and the change of politics of the communist international to the popular front",2018,"Istoriya",9,"67",,,,,1,10.18254/S0002154-8-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85107464235&partnerID=40&md5=dcd76d71ee7eaa7906093be520a74aa8",Review,Final,"",Scopus,2-s2.0-85107464235
"Blue, L.","57201214725","Religion and Organisation",2018,"European Judaism",51,"1",,98,103,,,10.3167/EJ.2018.510113,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85107418045&partnerID=40&md5=136bf3aae1e3f1c76238dc81f2214fa4",Article,Final,"",Scopus,2-s2.0-85107418045
"Eldridge, E.R.","57218327301","Administrating violence through coal ash policies and practices",2018,"Conflict and Society",4,"1",,99,115,,3,10.3167/ARCS.2018.040109,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85091595432&partnerID=40&md5=514d6535e0b71b900c3cacedfb485ec3",Article,Final,"",Scopus,2-s2.0-85091595432
"Deery, R., Hughes, D., Kirkham, M.","6602865591; 7403464182; 7006632697","Tensions and barriers in improving maternity care: The story of a birth centre",2018,"Tensions and Barriers in Improving Maternity Care: The Story of a Birth Centre",,"",,1,121,,,10.4324/9781315383804,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85085825086&partnerID=40&md5=4fd57d6fb558d26043feb0ed597694ce",Book,Final,"",Scopus,2-s2.0-85085825086
"Farazmand, A.","36792840400","Handbook of bureaucracy",2018,"Handbook of Bureaucracy",,"",,1,700,,,10.4324/9781315093291,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85085813026&partnerID=40&md5=bde65693e258cf60077325e15c62547b",Book,Final,"",Scopus,2-s2.0-85085813026
"Kim, B.W.","57217023235","Public bureaucracy in Korea",2018,"Handbook of Bureaucracy",,"",,591,602,,1,10.4324/9781315093291-38,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85085804369&partnerID=40&md5=4dce987d6d32a91b18ca35f365569000",Book Chapter,Final,"",Scopus,2-s2.0-85085804369
"Ranney, A.","24489366500","A world of difference: He public philosophies and political behaviors of rival American cultures",2018,"Cultural Analysis: Volume 1: Politics, Public Law, and Administration",,"",,11,32,,,10.4324/9780203794234-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85082259311&partnerID=40&md5=eff32e1a59662441dded1f043f6d6dbb",Book Chapter,Final,"",Scopus,2-s2.0-85082259311
"Nicolini, V.","57215601318","Emperors and prefects of the praetorium according to John Lydus: The conditions of good government | Empereurs et préfets du prétoire chez Jean le Lydien: Les conditions du bon gouvernement",2018,"Jahrbuch der Osterreichischen Byzantinistik",68,"",,211,221,,,10.1553/joeb68s211,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85081399593&partnerID=40&md5=c4e16605ea6d4eed0dcffc646e4ec6fb",Article,Final,"",Scopus,2-s2.0-85081399593
"Baker, S.E.","57188968840","Post-work Futures and Full Automation: Towards a Feminist Design Methodology",2018,"Open Cultural Studies",2,"1",,540,552,,3,10.1515/culture-2018-0049,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85078875630&partnerID=40&md5=d95fb004e579e47f9900434d82ad1f47",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85078875630
"Uzodike, U.O.","6507223716","Development in the new world order: Repositioning africa for the twenty-first century",2018,"Preparing Africa for the Twenty-First Century: Strategies for Peaceful Coexistence and Sustainable Development",,"",,61,97,,,10.4324/9780429427565-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85078644647&partnerID=40&md5=ea0eab7798238861a81afd0b10fd2449",Book Chapter,Final,"",Scopus,2-s2.0-85078644647
"Hildreth, M.L.","57213146786","Doctors, bureaucrats, and public health in France: 1888–1902",2018,"Doctors, Bureaucrats, and Public Health in France: 1888-1902",6,"",,1,354,,1,10.4324/9780429401299,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85077553250&partnerID=40&md5=24963473b2d63e94423cb02db68919d2",Book,Final,"",Scopus,2-s2.0-85077553250
"Briault, E.","6506904234","The politics of primary contraction",2018,"New Directions in Primary Education",,"",,209,219,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85077267147&partnerID=40&md5=c71a874d0080d12c5dd63f72b91c4a4c",Book Chapter,Final,"",Scopus,2-s2.0-85077267147
"Montalbano, K.","57204159237","Government surveillance of religious expression: Mormons, quakers, and Muslims in the United States",2018,"Government Surveillance of Religious Expression: Mormons, Quakers, and Muslims in the United States",,"",,1,168,,,10.4324/9781315141961,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85077249111&partnerID=40&md5=9c9bf3a45b096db1be00a6cdb4569260",Book,Final,"",Scopus,2-s2.0-85077249111
"Daud, Z., Ismail, S.A., Rashdan, M.S., Husin, M.F.","57191988582; 57209634965; 57211673761; 57211673507","Office politics as an element in office ecosystem",2018,"Journal of Social Sciences Research",2018,"Special Issue  6",,547,552,,,10.32861/jssr.spi6.547.552,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85074803682&partnerID=40&md5=7cd6426807f529a8525f03a29a6d2e37",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85074803682
"Herrmann, K.","57211146724","Statement by officials in conflict with official duties | Berichte und kritik: äusserung von beamten im konflikt mit dienstpflichten",2018,"Verwaltung",51,"4",,265,300,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072807387&partnerID=40&md5=c9e0b01742fdde6b129f8081c81c279d",Article,Final,"",Scopus,2-s2.0-85072807387
"Pante, M.D.","39361901600","Far from isolation: The spatial politics of the relocation of the main campus of the university of the philippines, 1930s–1970s",2018,"Sojourn",33,"3",,499,535,,2,10.1355/sj33-3a,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85068720922&partnerID=40&md5=233bf9871b4ef877a8c4f004030fe4f1",Article,Final,"",Scopus,2-s2.0-85068720922
"Hills, J.","7102938469","The politics of international telecommunicate reform",2018,"The Telecommunications Revolution: Past, Present and Future",,"",,120,139,,,10.4324/9781351115704,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85067010487&partnerID=40&md5=72106cbc8a6fdd1699a5d067b87dc188",Book Chapter,Final,"",Scopus,2-s2.0-85067010487
"Vike, H.","26036827700","Street-level bureaucracy and crosscutting cleavages in municipal worlds",2018,"Comparative Social Research",33,"",,245,263,,5,10.1108/S0195-631020180000033016,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85065495720&partnerID=40&md5=ef5326d0772b5cc4bb330fcf5b506162",Book Chapter,Final,"",Scopus,2-s2.0-85065495720
"Hustedt, T., Salomonsen, H.H.","55801320900; 37073223500","From neutral competence to competent neutrality? Revisiting neutral competence as the core normative foundation of western bureaucracy",2018,"Comparative Social Research",33,"",,69,88,,5,10.1108/S0195-631020180000033008,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85065469003&partnerID=40&md5=d954785876740800b93ad40a7e33b4f8",Book Chapter,Final,"",Scopus,2-s2.0-85065469003
"Minelgaite, I., Guðmundsdóttir, S., Guðmundsdóttir, Á.E., Stangej, O.","57200991533; 57188562081; 57208480836; 37115938500","The untold story of gender quota effects in Iceland",2018,"Contributions to Management Science",,"",,99,108,,,10.1007/978-3-319-96044-9_11,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85064948905&partnerID=40&md5=79b51333ac17f29e6cd20a0c9245959a",Book Chapter,Final,"",Scopus,2-s2.0-85064948905
"Newhall, C., Solidum, R.U.","6701779241; 6506557432","Volcanic Hazard Communication at Pinatubo from 1991 to 2015",2018,"Advances in Volcanology",,"",,189,203,,7,10.1007/11157_2016_43,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85064905898&partnerID=40&md5=5e541f3b67dbf038d9ebd18e243c2a2d",Book Chapter,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85064905898
"Beauvallet, W., Celestine, A., Roger, A.","25957861100; 26656597700; 57193567566","Between bureaucracy and politics: Ministerial private offices and power relationship within the governments of Jean-Marc Ayrault and Manuel Valls | Entre bureaucratie et politique : Cabinets et rapports de force intragouvernementaux sous jean-marc ayrault et manuel valls",2018,"Revue Francaise d'Administration Publique",168,"4",,771,786,,,10.3917/rfap.168.0771,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85064718362&partnerID=40&md5=765126417490eb91aed327a8e922d68c",Article,Final,"",Scopus,2-s2.0-85064718362
"Pascucci, E.","55560502000","Who welcomes? the geographies of refugee aid as care work-commentary to Gill",2018,"Fennia",196,"2",,236,238,,4,10.11143/fennia.76588,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85063623824&partnerID=40&md5=b32ea1c02b69db34e6d67de96796c34a",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85063623824
"Heinemann-Grüder, A.","6507861197","The resources and limits of power: Personalistic regimes in Russia and Turkey | Ressourcen und Grenzen der Macht: Personalistische Regime in Russland und der Türkei",2018,"Osteuropa",68,"10-12",,107,118,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85063159070&partnerID=40&md5=ebdef4bd4c0a31949caaf693db6eed87",Article,Final,"",Scopus,2-s2.0-85063159070
"Sokolov, M., Lopatina, S., Yakovlev, G.","55378346000; 57209567964; 57207859546","From partnerships to bureaucracies: The constitutional evolution of Russian universities",2018,"Voprosy Obrazovaniya / Educational Studies Moscow",,"3",,120,145,,10,10.17323/1814-9545-2018-3-120-145,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85063101195&partnerID=40&md5=7f1c9854049d3ab6771ff0339c5c51ec",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85063101195
"Longaver, T., Popovici, V.","57207618200; 55233860200","Considerations regarding the county officials in the Saxon areas between 1919 and 1925",2018,"Studia Universitatis Cibiniensis, Series Historica",15,"",,159,172,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85062661955&partnerID=40&md5=75acaa7e306493a9741db1583ed7399b",Article,Final,"",Scopus,2-s2.0-85062661955
"Miller, B., Curry, B.","25925174200; 21833434500","U.S. Attorneys, political control, and career ambition",2018,"U.S. Attorneys, Political Control, and Career Ambition",,"",,1,203,,1,10.1093/oso/9780190928247.001.0001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061262936&partnerID=40&md5=7b2e57f25f1fff6f811fc72917b1939b",Book,Final,"",Scopus,2-s2.0-85061262936
"McKenzie, M.","57193669704","Common enemies: Crime, policy, and politics in Australia-Indonesia relations",2018,"Common Enemies: Crime, Policy, and Politics in Australia-Indonesia Relations",,"",,1,258,,3,10.1093/oso/9780198815754.001.0001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061137051&partnerID=40&md5=e6add23f22cce1689433b87de9555444",Book,Final,"",Scopus,2-s2.0-85061137051
"Wardman, J.K., Löfstedt, R.","10638818000; 7006483361","Anticipating or accommodating to public concern? Risk amplification and the politics of precaution reexamined",2018,"Risk Analysis",38,"9",,1802,1819,,10,10.1111/risa.12997,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061030047&partnerID=40&md5=4544480c72358300543ab201a0558a9a",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85061030047
"Graef, A.","57207702256","Think tanks and expertise: Russia's foreign and security policy community | Denkfabriken und Expertise: Russlands außen- und sicherheitspolitische community",2018,"Osteuropa",68,"8-9",,77,98,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85059738760&partnerID=40&md5=b3e1321dfd4756873926536a29d026d3",Article,Final,"",Scopus,2-s2.0-85059738760
"McKay, D.","7201908880","Essentials of American government",2018,"Essentials of American Politics",,"",,1,425,,,10.4324/9780429500756,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85059431546&partnerID=40&md5=cd42ff2d7ec6e3655a3ed7e7b1f7a843",Book,Final,"",Scopus,2-s2.0-85059431546
"Shea, T.","57205290100","Verifying nuclear disarmament",2018,"Verifying Nuclear Disarmament",,"",,1,220,,2,10.4324/9781315102467,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85059357949&partnerID=40&md5=167e351a2bb18d6081d4f852047fb234",Book,Final,"",Scopus,2-s2.0-85059357949
"Koncewicz, M.","57189917089","They said no to nixon: Republicans who stood up to the president’s abuses of power",2018,"They Said No to Nixon: Republicans Who Stood up to the President's Abuses of Power",,"",,1,226,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85058909326&partnerID=40&md5=a7495504c3d1810778e932b58a3e905b",Book,Final,"",Scopus,2-s2.0-85058909326
"Lavie, S.","15022822700","Wrapped in the flag of Israel: Mizrahi single mothers and bureaucratic torture, revised edition",2018,"Wrapped in the Flag of Israel: Mizrahi Single Mothers and Bureaucratic Torture, Revised Edition",,"",,1,314,,9,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85058445941&partnerID=40&md5=f120c85d9a9ffc81b3e8ed52109d4c1b",Book,Final,"",Scopus,2-s2.0-85058445941
"Treisman, D.","6701418589","The New Autocracy: Information, Politics, and Policy in Putin's Russia",2018,"The New Autocracy: Information, Politics, and Policy in Putin's Russia",,"",,1,320,,25,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85057679604&partnerID=40&md5=0da2f44630f3fdf8cc2f90aa3939dc9c",Book,Final,"",Scopus,2-s2.0-85057679604
"Szeghy-Gayer, V.","57204691259","Personnel continuity of the political elite in Košice following the Vienna Arbitration | Personálna kontinuita politickej elity v Košiciach po Viedenskej Arbitráži",2018,"Forum Historiae",12,"1",,129,140,,2,10.31577/forhist.2018.12.1.9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85056733098&partnerID=40&md5=322f60111185ef0563cb8f88ebe3a137",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85056733098
"Barrett, R.","57204452290","Reform in Ukraine and the Influence of Foreign Actors after Euromaidan",2018,"Laboratorium: Russian Review of Social Research",10,"2",,80,103,,,10.25285/2078-1938-2018-10-2-80-103,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85055652775&partnerID=40&md5=4ef26d07f7946393f66a459758ecf4cc",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85055652775
"Lee, J., Howe, B.","57203928979; 35147831500","Civil society and domestic politics in international relations: Lessons from global climate governance",2018,"Asia-Pacific Social Science Review",18,"1",,127,140,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85053593858&partnerID=40&md5=5b072d527fe69e6fb721f944a7b08048",Article,Final,"",Scopus,2-s2.0-85053593858
"Bannister, F., Connolly, R.","6603364158; 16400788200","The fourth power: ICT and the role of the administrative state in protecting democracy",2018,"Information Polity",23,"3",,307,323,,7,10.3233/IP-180072,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85052874785&partnerID=40&md5=95edfe2ea9c2e9ced7e22f13d86cc1c4",Article,Final,"",Scopus,2-s2.0-85052874785
"Cooper, D.A., Gvosdev, N.K., Blankshain, J.D.","46860906800; 8065737400; 57203747689","Deconstructing the “Deep State”: Subordinate Bureaucratic Politics in U.S. National Security",2018,"Orbis",62,"4",,518,540,,4,10.1016/j.orbis.2018.08.009,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85052803474&partnerID=40&md5=7d0507b7337a65439215e0ca5be41deb",Article,Final,"",Scopus,2-s2.0-85052803474
"Buchely, L.","56353268100","The affective state and precarious citizenship: Conflict, historical memory, and forgiveness in Bojayá, Colombia",2018,"Contemporary Readings in Law and Social Justice",10,"1",,7,34,,1,10.22381/CRLSJ1012018,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85052642118&partnerID=40&md5=8b826054a5e296a24f1b8de0105bcaa4",Article,Final,"",Scopus,2-s2.0-85052642118
"Dotan, Y.","6602759224","Impeachment by Judicial Review: Israel's Odd System of Checks and Balances",2018,"Theoretical Inquiries in Law",19,"2",,705,744,,6,10.1515/til-2018-0033,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85052201271&partnerID=40&md5=78898068bcc3d5840888e3230505ebb5",Review,Final,"",Scopus,2-s2.0-85052201271
"Heper, M.","55951873700","Bureaucracy in the Ottoman-Turkish polity",2018,"Handbook of Bureaucracy",,"",,659,674,,3,10.4324/9781315093291-42,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85051524726&partnerID=40&md5=86fc44a7f29e8e03331274875d014016",Book Chapter,Final,"All Open Access, Green",Scopus,2-s2.0-85051524726
"Miller, C.P., Bell, D.","57203241233; 56460752200","Dialogue",2018,"That All May Flourish: Comparative Religious Environmental Ethics",,"",,173,176,,,10.1093/oso/9780190456023.003.0010,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85051011199&partnerID=40&md5=a9c813dcaf8bad3ebcfd81939c3c008f",Book Chapter,Final,"",Scopus,2-s2.0-85051011199
"Miller, M.C.","55631108900","Judicial politics in the United States",2018,"Judicial Politics in the United States",,"",,1,432,,,10.4324/9780429493607,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85050773326&partnerID=40&md5=20372e41cf85efe68613031596b57f5e",Book,Final,"",Scopus,2-s2.0-85050773326
"Citrin, J.","6507704058","Who’s the boss? Direct democracy and popular control of government",2018,"Broken Contract?: Changing Relationships between Americans and their Government",,"",,268,293,,15,10.4324/9780429502002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85050722272&partnerID=40&md5=bcd4ab9bc4d3a4387bc3ec0d291f416a",Book Chapter,Final,"",Scopus,2-s2.0-85050722272
"Escobar-Lemmon, M.C., Funk, K.D.","6506884788; 56770915200","Women’s representation in subnational governments: Replicating national institutions or forging a unique path?",2018,"Gender and Representation in Latin America",,"",,99,118,,7,10.1093/oso/9780190851224.003.0006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85049545666&partnerID=40&md5=3088aff0b35ca2a75fd194886be367b3",Book Chapter,Final,"",Scopus,2-s2.0-85049545666
"Denzin, N.K., Giardina, M.D.","7004059185; 34769898200","Qualitative inquiry in the public sphere",2018,"Qualitative Inquiry in the Public Sphere",,"",,1,222,,10,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85049444209&partnerID=40&md5=8aaaa5b23238e59b3dde7b9bb01275af",Book,Final,"",Scopus,2-s2.0-85049444209
"McAllister, A., Leeder, S.R.","57039686000; 19635485200","Distrusting doctors' evidence: A qualitative study of disability income support policy makers in Australia and Ontario, Canada",2018,"Australian Health Review",42,"4",,475,480,,3,10.1071/AH16092,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85049324300&partnerID=40&md5=937a811a11be4522eb52865e59dcffa4",Article,Final,"",Scopus,2-s2.0-85049324300
"Walton, W.","25947073100","Deregulated free-for-all planning, new settlements and the spectre of abandoned building sites in Scotland’s crisis-hit oil economy",2018,"Fennia",196,"1",,58,76,,5,10.11143/fennia.65626,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85049076617&partnerID=40&md5=30146eeeb7c817e9e2de380630635670",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85049076617
"Carolan, M.","7004240106","The politics of big data: Corporate agri-food governance meets “weak” resistance",2018,"Agri-Environmental Governance as an Assemblage: Multiplicity, Power, and Transformation",,"",,195,212,,14,10.4324/9781315114941,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85048691938&partnerID=40&md5=cd445757fdb0b8a22ccecf81ca1694b0",Book Chapter,Final,"",Scopus,2-s2.0-85048691938
"Oosterloo, S., Van Schie, G.","57202436826; 57202433536","The politics and biases of the """"crime anticipation system"""" of the Dutch police",2018,"CEUR Workshop Proceedings",2103,"",,30,41,,2,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85048333227&partnerID=40&md5=26e68721b198e159a5edc95199cec635",Conference Paper,Final,"",Scopus,2-s2.0-85048333227
"Weingarten, M.","7006167043","Toward an Israeli medical ethics",2018,"Bioethics and Biopolitics in Israel: Socio-Legal, Political, and Empirical Analysis",,"",,277,294,,1,10.1017/9781316671986.015,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85048154954&partnerID=40&md5=f9c41d1678e77e826800b40004e3c287",Book Chapter,Final,"",Scopus,2-s2.0-85048154954
"Ross, A.","57202161744","Post-revolutionary politics: The case of the prussian ministry of state",2018,"The 1848 Revolutions and European Political Thought",,"",,276,292,,1,10.1017/9781316650974.013,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85048022364&partnerID=40&md5=f9c2f4a6cd889e27c45e312a819e5b60",Book Chapter,Final,"",Scopus,2-s2.0-85048022364
"Pitcher, M.A., Teodoro, M.P.","8054900000; 8415074600","The bureaucracy: Policy implementation and reform",2018,"Institutions and Democracy in Africa: How the Rules of the Game Shape Political Developments",,"",,160,188,,,10.1017/9781316562888.007,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85048019325&partnerID=40&md5=dfee25f820167c79963d3c1b04515840",Book Chapter,Final,"",Scopus,2-s2.0-85048019325
"Arriola, L.R.","34972770400","Financial institutions: Economic liberalisation, credit and opposition party successes",2018,"Institutions and Democracy in Africa: How the Rules of the Game Shape Political Developments",,"",,92,114,,1,10.1017/9781316562888.004,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85048005535&partnerID=40&md5=d7cd874e317ab6431cd8d0b700ee3714",Book Chapter,Final,"",Scopus,2-s2.0-85048005535
